time (h),10^6 viable_cells per mL
0,0.1722
0,0.162
0,0.1345
24,0.3577
24,0.3771
24,0.3445
56,1.2779
56,1.3799
56,1.0629
56,1.0721
56,1.1689
56,1.1852
0,0.1284
0,0.1518
0,0.1447
0,0.1406
0,0.1885
0,0.1794
102,4.4616
102,4.3464
102,4.2904
116,8.0804
116,7.4149
116,8.6297
12,0.1814
12,0.2048
12,0.2069
122,7.2447
122,6.727
122,5.8058
170,8.4065
170,8.7479
170,7.4261
18,0.2466
18,0.2425
18,0.2833
24,0.2976
24,0.3067
24,0.321
24,0.3546
24,0.3241
24,0.3312
30,0.3332
30,0.3873
30,0.3903
30,0.3934
30,0.428
30,0.374
36,0.4535
36,0.481
36,0.4423
42,0.6838
42,0.6614
42,0.6909
48,0.5982
48,0.7939
48,0.8244
48,0.8387
48,0.7725
48,0.9325
54,0.8234
54,0.8336
54,0.9223
54,1.012
54,0.9427
54,0.9793
6,0.1386
6,0.1682
6,0.1335
6,0.1946
6,0.1875
6,0.2048
60,1.0925
60,1.1669
60,1.2005
66,1.656
66,1.5633
66,1.603
72,1.7579
72,1.8232
72,1.8578
72,1.9791
72,1.9495
72,1.9139
78,2.1167
78,2.5039
78,2.135
78,2.613
78,2.5508
78,2.7138
84,2.3826
84,2.827
84,2.67
90,3.9449
90,4.2221
90,4.0968
96,4.4626
96,4.058
96,3.9806
96,4.4331
96,4.3617
96,4.7734
